starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_23-24.pth
Train loss: 1.9240993616688797 Val loss: 0.0 Time: 1.0381205000012415
Train loss: 2.169387720548272 Val loss: 0.0 Time: 0.9982825000042794
Train loss: 2.137650001397219 Val loss: 0.0 Time: 1.0548203000071226
Train loss: 1.659426719471437 Val loss: 0.0 Time: 1.1208508999989135
Train loss: 1.6720364379816601 Val loss: 0.0 Time: 1.0225033999886364
Train loss: 1.413007691878306 Val loss: 0.0 Time: 0.9910930000041844
Train loss: 1.4962920210321409 Val loss: 0.0 Time: 0.9545270999951754
Train loss: 1.4774516884067896 Val loss: 0.0 Time: 1.0039747999981046
Train loss: 1.4962821095614451 Val loss: 0.0 Time: 1.1555086000007577
Train loss: 1.235162916720526 Val loss: 0.0 Time: 1.104233000005479
Train loss: 1.2859243733037857 Val loss: 0.0 Time: 1.1540424000122584
Train loss: 1.229392999276513 Val loss: 0.0 Time: 1.1181064000120386
Train loss: 1.2461649520054863 Val loss: 0.0 Time: 1.1024943000084022
Train loss: 0.9989646747866034 Val loss: 0.0 Time: 1.1254201999981888
Train loss: 1.0534350273146345 Val loss: 0.0 Time: 1.1275316999963252
Train loss: 1.1310762340730491 Val loss: 0.0 Time: 1.116460699995514
Train loss: 1.2383825545372247 Val loss: 0.0 Time: 1.0966225999873132
Train loss: 1.1188584996068585 Val loss: 0.0 Time: 1.0924082999990787
Train loss: 1.0944778997490259 Val loss: 0.0 Time: 1.1465583999961382
Train loss: 1.0245235760412936 Val loss: 0.0 Time: 1.330468899992411
Train loss: 1.0508644380216197 Val loss: 0.0 Time: 1.1569138000049861
Train loss: 0.9997873171947163 Val loss: 0.0 Time: 1.0982212999952026
Train loss: 0.942713469787364 Val loss: 0.0 Time: 1.1958173999883002
Train loss: 1.0496122512713115 Val loss: 0.0 Time: 1.1906209000007948
Train loss: 0.8737115931008157 Val loss: 0.0 Time: 1.2505347999976948
Train loss: 0.9317318447477589 Val loss: 0.0 Time: 1.086068599994178
Train loss: 0.9340631169988001 Val loss: 0.0 Time: 1.1776641000033123
Train loss: 1.096267026824897 Val loss: 0.0 Time: 1.2473623999976553
Train loss: 0.971053374527534 Val loss: 0.0 Time: 1.1514084999944316
Train loss: 1.0214415393421064 Val loss: 0.0 Time: 1.1213627000106499
Train loss: 0.876458340819541 Val loss: 0.0 Time: 1.2050665999995545
Train loss: 0.8880748691876699 Val loss: 0.0 Time: 1.1063535000139382
Train loss: 0.8604133213494412 Val loss: 0.0 Time: 1.1179503000021214
Train loss: 0.9145341740017017 Val loss: 0.0 Time: 1.146382699997048
Train loss: 0.9430951559747225 Val loss: 0.0 Time: 1.1885138999932678
Train loss: 0.7983708608576734 Val loss: 0.0 Time: 1.1236198999977205
Train loss: 0.7788478214490802 Val loss: 0.0 Time: 1.1740111999970395
Train loss: 0.7629610266651241 Val loss: 0.0 Time: 1.2267783999996027
Train loss: 0.7574331649256365 Val loss: 0.0 Time: 1.1835197000036715
Train loss: 0.7456709893662303 Val loss: 0.0 Time: 1.1471391999948537
Train loss: 0.6740637551416739 Val loss: 0.0 Time: 1.2184392000053776
Train loss: 0.7262464606689498 Val loss: 0.0 Time: 1.1899014000082389
Train loss: 0.7568973850379904 Val loss: 0.0 Time: 1.1389247000042815
Train loss: 0.8743136590651588 Val loss: 0.0 Time: 1.1503637000132585
Train loss: 0.7548391605227103 Val loss: 0.0 Time: 1.1594782999891322
Train loss: 0.6206387290728372 Val loss: 0.0 Time: 1.094123100003344
Train loss: 0.7124165934965276 Val loss: 0.0 Time: 1.1567317000008188
Train loss: 0.9260365242269408 Val loss: 0.0 Time: 1.1661005000059959
Train loss: 0.7554102280047257 Val loss: 0.0 Time: 1.0955553999956464
Train loss: 0.6762152552447631 Val loss: 0.0 Time: 1.055075600001146
Train loss: 0.7194405661771555 Val loss: 0.0 Time: 1.1066225999966264
Train loss: 0.8020051559961782 Val loss: 0.0 Time: 1.2315939999971306
Train loss: 0.6878395215148636 Val loss: 0.0 Time: 1.1583519999985583
