starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_B_23-24.pth
Train loss: 2.6414784299446765 Val loss: 0.0 Time: 0.4561517999973148
Train loss: 3.7532221955646956 Val loss: 0.0 Time: 0.4784462999959942
Train loss: 2.92678736289065 Val loss: 0.0 Time: 0.5535049999889452
Train loss: 2.5701485097439445 Val loss: 0.0 Time: 0.4407771000114735
Train loss: 2.472458407000431 Val loss: 0.0 Time: 0.4680196000263095
Train loss: 2.2974100223989353 Val loss: 0.0 Time: 0.5740932000044268
Train loss: 2.0529446228250663 Val loss: 0.0 Time: 0.7016348000033759
Train loss: 2.1055462118946764 Val loss: 0.0 Time: 0.7585491000209004
Train loss: 2.0315562910993528 Val loss: 0.0 Time: 0.8040244999865536
Train loss: 1.9011990350417562 Val loss: 0.0 Time: 0.8922262999985833
Train loss: 1.908045949055861 Val loss: 0.0 Time: 0.9058785999950487
Train loss: 1.770243753072827 Val loss: 0.0 Time: 1.1345510000246577
Train loss: 1.7710940354613554 Val loss: 0.0 Time: 1.5579557000019122
Train loss: 1.8450577673990267 Val loss: 0.0 Time: 1.3370615000021644
Train loss: 1.6108162451384658 Val loss: 0.0 Time: 1.1845588999858592
Train loss: 1.5966413066490759 Val loss: 0.0 Time: 0.9167231000028551
Train loss: 1.6315072818770497 Val loss: 0.0 Time: 0.7597888000018429
Train loss: 1.56939362357366 Val loss: 0.0 Time: 0.7757512000098359
Train loss: 1.5953669795493255 Val loss: 0.0 Time: 0.709336700005224
Train loss: 1.5512798441507343 Val loss: 0.0 Time: 0.687662399985129
Train loss: 1.4618182522732255 Val loss: 0.0 Time: 0.7124545999977272
Train loss: 1.448948803743633 Val loss: 0.0 Time: 0.6910468999994919
Train loss: 1.3723652096817531 Val loss: 0.0 Time: 0.7099693999916781
Train loss: 1.3711737263603405 Val loss: 0.0 Time: 0.8327376000233926
Train loss: 1.3446606063951094 Val loss: 0.0 Time: 1.0266297000052873
Train loss: 1.3196996900869848 Val loss: 0.0 Time: 1.1186514000000898
Train loss: 1.3514318368026077 Val loss: 0.0 Time: 0.6993774000147823
Train loss: 1.2583650860631508 Val loss: 0.0 Time: 0.6580140999867581
Train loss: 1.354678395876391 Val loss: 0.0 Time: 0.6441915000032168
Train loss: 1.303674371101195 Val loss: 0.0 Time: 0.6685655000037514
Train loss: 1.2438162528829935 Val loss: 0.0 Time: 0.9042822000046726
Train loss: 1.2089054381841606 Val loss: 0.0 Time: 1.2202308000123594
Train loss: 1.1262933048870991 Val loss: 0.0 Time: 1.6074190000072122
Train loss: 1.189964201343571 Val loss: 0.0 Time: 0.9981167999794707
Train loss: 1.2044774582285953 Val loss: 0.0 Time: 1.050649799988605
Train loss: 1.144587123993972 Val loss: 0.0 Time: 1.0357700000167824
Train loss: 1.174247723467154 Val loss: 0.0 Time: 0.8694868000166025
Train loss: 1.0694915475300348 Val loss: 0.0 Time: 0.7876628000230994
Train loss: 1.1044012943964638 Val loss: 0.0 Time: 0.8120915999752469
Train loss: 1.0571500988482967 Val loss: 0.0 Time: 0.860748600010993
Train loss: 1.123229305457813 Val loss: 0.0 Time: 0.8980196999909822
Train loss: 0.9918267528728961 Val loss: 0.0 Time: 0.9799514999904204
Train loss: 1.070292524299692 Val loss: 0.0 Time: 0.9859059000154957
Train loss: 1.0212805496432047 Val loss: 0.0 Time: 1.0429987999959849
Train loss: 1.025209683773916 Val loss: 0.0 Time: 0.8775546999822836
Train loss: 1.119955960288264 Val loss: 0.0 Time: 1.0590739999897778
Train loss: 0.9615683207688761 Val loss: 0.0 Time: 1.1470262999937404
Train loss: 1.038524550747347 Val loss: 0.0 Time: 0.884109599981457
Train loss: 1.0545728395434653 Val loss: 0.0 Time: 0.7967090999882203
Train loss: 1.0851157464266805 Val loss: 0.0 Time: 0.8490841999882832
Train loss: 0.9542843647071351 Val loss: 0.0 Time: 0.8137965000059921
Train loss: 0.9581219932116838 Val loss: 0.0 Time: 0.8120918000058737
Train loss: 1.0083975120323032 Val loss: 0.0 Time: 0.8190852999978233
Train loss: 0.9289149633789435 Val loss: 0.0 Time: 0.7857844000100158
Train loss: 1.0046077950690595 Val loss: 0.0 Time: 0.7787577999988571
Train loss: 0.9782014407392303 Val loss: 0.0 Time: 0.7432524999894667
Train loss: 0.9940544017100592 Val loss: 0.0 Time: 0.7741629999945872
Train loss: 0.9793286477074314 Val loss: 0.0 Time: 0.7464842000044882
Train loss: 0.9675148778881919 Val loss: 0.0 Time: 0.7445086000079755
Train loss: 0.9115369564866995 Val loss: 0.0 Time: 0.7579816000070423
Train loss: 0.8836188019014983 Val loss: 0.0 Time: 0.6891200999962166
Train loss: 0.8543977784850085 Val loss: 0.0 Time: 0.6767439999966882
Train loss: 0.9752132111975698 Val loss: 0.0 Time: 0.6344978999986779
Train loss: 0.8609853977068269 Val loss: 0.0 Time: 0.4753513000032399
Train loss: 0.8857505122266325 Val loss: 0.0 Time: 0.420916600007331
Train loss: 0.8666392888433734 Val loss: 0.0 Time: 0.43809830001555383
Train loss: 0.8879949549370423 Val loss: 0.0 Time: 0.4610216000000946
Train loss: 0.9399590023175506 Val loss: 0.0 Time: 0.47008200001437217
Train loss: 0.9850710350905558 Val loss: 0.0 Time: 0.48486990001401864
Train loss: 0.9146682497348593 Val loss: 0.0 Time: 0.6153191000048537
Train loss: 0.8900738263920687 Val loss: 0.0 Time: 0.6031705000204965
Shrinking learning rate to 1e-05
Train loss: 1.0123608286844732 Val loss: 0.0 Time: 0.6797078000090551
Train loss: 0.8960111574732679 Val loss: 0.0 Time: 0.6376060000038706
Train loss: 0.8831783146684984 Val loss: 0.0 Time: 0.5758972000039648
Train loss: 0.8464606376516493 Val loss: 0.0 Time: 0.6082881999900565
Train loss: 0.904763941063873 Val loss: 0.0 Time: 0.6587312999763526
Train loss: 0.9062638242466541 Val loss: 0.0 Time: 0.621544299996458
Train loss: 0.8437574121433755 Val loss: 0.0 Time: 0.5371549999981653
Train loss: 0.9064440824904523 Val loss: 0.0 Time: 0.6301748999976553
Train loss: 0.8364592056722557 Val loss: 0.0 Time: 0.6462702999997418
Train loss: 0.852799963724288 Val loss: 0.0 Time: 0.6225994999986142
Train loss: 0.8756109002787866 Val loss: 0.0 Time: 0.6493960000225343
Train loss: 0.872114203474446 Val loss: 0.0 Time: 0.6517364000028465
Train loss: 0.8886413514924563 Val loss: 0.0 Time: 0.6003799000172876
Train loss: 0.8914494820670242 Val loss: 0.0 Time: 0.6076547999982722
Train loss: 0.8508123737429969 Val loss: 0.0 Time: 0.6304599999857601
Train loss: 0.8189115375123492 Val loss: 0.0 Time: 0.634767900017323
Train loss: 0.8006911828498176 Val loss: 0.0 Time: 0.6392950000008568
Train loss: 0.8132782706358199 Val loss: 0.0 Time: 0.6351850999926683
Train loss: 0.8315103873179055 Val loss: 0.0 Time: 0.5840831000241451
Train loss: 0.8490962001291393 Val loss: 0.0 Time: 0.6109368999896105
Train loss: 0.8352577859970722 Val loss: 0.0 Time: 0.7703046999813523
Train loss: 0.8440679185756288 Val loss: 0.0 Time: 0.6301229000091553
Train loss: 0.8646527628117235 Val loss: 0.0 Time: 0.5933189999777824
Train loss: 0.8841396279513845 Val loss: 0.0 Time: 0.6107941999798641
Train loss: 0.8148457325669725 Val loss: 0.0 Time: 0.6000956000061706
Train loss: 0.845084813939657 Val loss: 0.0 Time: 0.653510300006019
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.8450606015496902 Val loss: 0.0 Time: 0.754987100022845
Train loss: 0.8505094045231347 Val loss: 0.0 Time: 0.5734859999793116
Train loss: 0.8418619947011123 Val loss: 0.0 Time: 0.5710279000049923
Train loss: 0.8912619933125825 Val loss: 0.0 Time: 0.5938831999956165
Train loss: 0.8369866298390856 Val loss: 0.0 Time: 0.6016116999962833
Train loss: 0.7965533353123009 Val loss: 0.0 Time: 0.6325314000132494
Train loss: 0.7926341203192351 Val loss: 0.0 Time: 0.5905793999845628
Train loss: 0.8074881933425964 Val loss: 0.0 Time: 0.5990635999769438
Train loss: 0.9053450651534298 Val loss: 0.0 Time: 0.5580133999756072
Train loss: 0.8814583807169072 Val loss: 0.0 Time: 0.598341699980665
Train loss: 0.8781726528819718 Val loss: 0.0 Time: 0.5958179000008386
Train loss: 0.8659522539876505 Val loss: 0.0 Time: 0.5702812999952585
Train loss: 0.8431666859049898 Val loss: 0.0 Time: 0.5991223000164609
Train loss: 0.8620015464034143 Val loss: 0.0 Time: 0.5896298000006936
Train loss: 0.8255469837281453 Val loss: 0.0 Time: 0.5573853999958374
Train loss: 0.8109949546509938 Val loss: 0.0 Time: 0.6587504000053741
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 86.15378170000622
