starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_drop_23-24.pth
Train loss: 16.942845381605864 Val loss: 1.8822748053820162 Time: 1.1886647999999695
Train loss: 16.76632350964438 Val loss: 1.863239954235628 Time: 1.0805130000003373
Train loss: 15.861912008898914 Val loss: 1.7632315181828297 Time: 0.9851462999999967
Train loss: 12.878218632526533 Val loss: 1.444491232779463 Time: 1.1420728999996754
Train loss: 9.435764761613967 Val loss: 1.0926311017751096 Time: 0.9583389999997962
Train loss: 8.250894965647754 Val loss: 0.9597177618221545 Time: 1.0066114000001107
Train loss: 7.800646838058865 Val loss: 0.9102334360231322 Time: 1.2295460999998795
Train loss: 7.625446627176534 Val loss: 0.8894560880661725 Time: 1.0371235000002343
Train loss: 7.558711647903049 Val loss: 0.8731664431377064 Time: 1.2147801999999501
Train loss: 7.501847726579445 Val loss: 0.8673699247129015 Time: 1.1725704000000405
Train loss: 7.002710861327358 Val loss: 0.8167610633982363 Time: 1.0663275000001704
Train loss: 6.96562581526473 Val loss: 0.807589749360173 Time: 1.0847467999997207
Train loss: 6.830593041130911 Val loss: 0.7989750246008913 Time: 1.0372409999999945
Train loss: 6.611449091878648 Val loss: 0.7687908002566048 Time: 1.1833043000001453
Train loss: 6.662322414688553 Val loss: 0.7690985505101285 Time: 1.149905800000397
Train loss: 6.430674063999618 Val loss: 0.7490173478823686 Time: 1.0240380000000187
Train loss: 6.010098467763612 Val loss: 0.7030227472143175 Time: 1.3349001000001408
Train loss: 5.992937738814426 Val loss: 0.6943783855322029 Time: 1.164191800000026
Train loss: 5.989294723669197 Val loss: 0.6915717682782274 Time: 1.0532447999999022
Train loss: 5.518241420722127 Val loss: 0.6466083782800133 Time: 1.1349004999997305
Train loss: 5.382043158824835 Val loss: 0.6240075028420761 Time: 1.7166616999998041
Train loss: 5.121590878627789 Val loss: 0.6013174432558371 Time: 1.062214099999892
Train loss: 4.913903872195256 Val loss: 0.5807116731157772 Time: 1.1097110000000612
Train loss: 4.685197470405352 Val loss: 0.5432196218656336 Time: 1.3031395999996676
Train loss: 4.702393983167468 Val loss: 0.55164013092806 Time: 2.198534500000278
Train loss: 4.343705643040352 Val loss: 0.5113268048321955 Time: 1.9539654000000155
Train loss: 4.301912610779407 Val loss: 0.4900743641498573 Time: 1.2365420000000995
Train loss: 3.8239591087462657 Val loss: 0.44448935325961386 Time: 1.8683262999998078
Train loss: 3.9557191155489857 Val loss: 0.44222615082898475 Time: 2.5972397000000456
Train loss: 4.009098891967941 Val loss: 0.4439706488689847 Time: 1.983233499999642
Train loss: 3.617596353302238 Val loss: 0.41552032902212976 Time: 2.0222540999998273
Train loss: 3.750031059442886 Val loss: 0.41444846769182675 Time: 1.2586747999998806
Train loss: 3.8829616860644904 Val loss: 0.43590573002533994 Time: 1.3940712999997231
Train loss: 3.641913327332894 Val loss: 0.4100981242091913 Time: 1.979722000000038
Train loss: 3.4755802864037673 Val loss: 0.3904003224823474 Time: 1.7507654999999431
Train loss: 3.5644317491985795 Val loss: 0.38865823695797946 Time: 1.9442873000002692
