starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_23-24.pth
Train loss: 3.388585950486451 Val loss: 0.0 Time: 1.0004228000034345
Train loss: 3.614659081639161 Val loss: 0.0 Time: 0.9695357000018703
Train loss: 3.6722860813562512 Val loss: 0.0 Time: 0.9597976000077324
Train loss: 3.2791296579138667 Val loss: 0.0 Time: 1.3558713999955216
Train loss: 3.30128160541409 Val loss: 0.0 Time: 1.386462800001027
Train loss: 3.4060978602771557 Val loss: 0.0 Time: 1.3170354000030784
Train loss: 3.413901887529562 Val loss: 0.0 Time: 1.4747847000107868
Train loss: 2.948133286959802 Val loss: 0.0 Time: 1.1328531000035582
Train loss: 3.2515049395923796 Val loss: 0.0 Time: 1.3830462000041734
Train loss: 3.1034021264671026 Val loss: 0.0 Time: 1.7825462000037078
Train loss: 2.8898138487565124 Val loss: 0.0 Time: 1.8209924999973737
Train loss: 2.950524866659947 Val loss: 0.0 Time: 1.8013000000064494
Train loss: 2.812034221895942 Val loss: 0.0 Time: 1.5037148999981582
Train loss: 3.064853818624073 Val loss: 0.0 Time: 1.42539659999602
Train loss: 3.036934844117721 Val loss: 0.0 Time: 1.8866981999890413
Train loss: 2.9478942187055424 Val loss: 0.0 Time: 1.7532575999939581
Train loss: 2.8567869369467047 Val loss: 0.0 Time: 1.54600320001191
Train loss: 2.6975458179492975 Val loss: 0.0 Time: 1.5021175000001676
Train loss: 2.793967063078469 Val loss: 0.0 Time: 1.3642655000003288
Train loss: 2.7417184746733483 Val loss: 0.0 Time: 1.3070469000085723
Train loss: 2.7390958268927363 Val loss: 0.0 Time: 1.233372299990151
Train loss: 2.6904586903956087 Val loss: 0.0 Time: 1.5014651999954367
Train loss: 2.543159868853593 Val loss: 0.0 Time: 1.5884440999943763
Train loss: 2.6697669428748187 Val loss: 0.0 Time: 1.4984121000015875
Train loss: 2.558944804801655 Val loss: 0.0 Time: 1.1908841999975266
Train loss: 2.9474624121040844 Val loss: 0.0 Time: 1.2545387999998638
Train loss: 2.7317931052542406 Val loss: 0.0 Time: 1.3819013000029372
Train loss: 2.484771267249535 Val loss: 0.0 Time: 1.3101211999892257
Train loss: 2.5582181347498736 Val loss: 0.0 Time: 1.6028218999999808
Train loss: 2.7685044843610953 Val loss: 0.0 Time: 1.4117643000063254
Train loss: 2.620297316786548 Val loss: 0.0 Time: 1.5536530999961542
Train loss: 2.481405881072291 Val loss: 0.0 Time: 1.3226233999885153
Train loss: 2.6720391161867667 Val loss: 0.0 Time: 1.3317103000008501
Train loss: 2.445345726702243 Val loss: 0.0 Time: 1.2851326999953017
Train loss: 2.9749748174652098 Val loss: 0.0 Time: 1.4659018999955151
Train loss: 2.620845764469505 Val loss: 0.0 Time: 1.6409960000019055
Train loss: 2.331925811805718 Val loss: 0.0 Time: 1.2491645999980392
Train loss: 2.484693521393069 Val loss: 0.0 Time: 1.1964939000026789
Train loss: 2.5926185598598943 Val loss: 0.0 Time: 1.4045330999942962
Train loss: 2.48646711168103 Val loss: 0.0 Time: 1.245850600011181
Train loss: 2.352840080477783 Val loss: 0.0 Time: 1.3081248000089545
Train loss: 2.4631346904091984 Val loss: 0.0 Time: 1.209984400004032
Train loss: 2.3315333769376934 Val loss: 0.0 Time: 1.3971349000057671
Train loss: 2.423916868409094 Val loss: 0.0 Time: 1.3604235999955563
Train loss: 2.486435748229759 Val loss: 0.0 Time: 1.2752575999911642
Train loss: 2.529580218238692 Val loss: 0.0 Time: 1.3101006000069901
Train loss: 2.213740588247447 Val loss: 0.0 Time: 1.6643834999995306
Train loss: 2.3671488605157265 Val loss: 0.0 Time: 1.5791501000057906
Train loss: 2.461666840323005 Val loss: 0.0 Time: 1.2226124000007985
Train loss: 2.172844003714303 Val loss: 0.0 Time: 1.1300778000004357
Train loss: 2.2165557191748597 Val loss: 0.0 Time: 1.3684385999949882
Train loss: 2.2622192086246358 Val loss: 0.0 Time: 1.3169329000083962
Train loss: 2.266798821393838 Val loss: 0.0 Time: 1.4421423000021605
Train loss: 2.307747363507474 Val loss: 0.0 Time: 1.160160100000212
Train loss: 2.1708351308451483 Val loss: 0.0 Time: 1.3924001000123098
Train loss: 2.1263520947682366 Val loss: 0.0 Time: 1.202078000002075
Train loss: 2.0300248258151044 Val loss: 0.0 Time: 1.4087640999932773
Train loss: 2.1121355381562807 Val loss: 0.0 Time: 1.5779828000086127
Train loss: 2.296116337878228 Val loss: 0.0 Time: 1.353083100009826
Train loss: 2.0712955491053435 Val loss: 0.0 Time: 1.3721506000001682
Train loss: 2.2322529097614847 Val loss: 0.0 Time: 1.380731299999752
Train loss: 2.2030144914443603 Val loss: 0.0 Time: 1.150188600004185
Train loss: 2.002695716248766 Val loss: 0.0 Time: 1.415919799997937
Train loss: 2.000984152911119 Val loss: 0.0 Time: 1.3020866000006208
Train loss: 2.192051920410904 Val loss: 0.0 Time: 1.3058981999929529
Train loss: 2.1125352677832154 Val loss: 0.0 Time: 1.192358600004809
Train loss: 1.875036866428644 Val loss: 0.0 Time: 1.2993144000065513
Train loss: 2.148674729435445 Val loss: 0.0 Time: 1.387193999995361
Train loss: 1.8545710879753479 Val loss: 0.0 Time: 1.3321817000105511
Train loss: 1.982429240385585 Val loss: 0.0 Time: 1.282296099991072
Train loss: 1.862980638509157 Val loss: 0.0 Time: 1.2651533000025665
Train loss: 2.0900381281319085 Val loss: 0.0 Time: 1.433707099989988
Train loss: 1.7267293834603095 Val loss: 0.0 Time: 1.4044773999921745
Train loss: 1.7861979675858208 Val loss: 0.0 Time: 1.276809900009539
Train loss: 2.064680955771422 Val loss: 0.0 Time: 1.227209299991955
Train loss: 2.007348543727744 Val loss: 0.0 Time: 1.425946199989994
Train loss: 1.9296532513411115 Val loss: 0.0 Time: 1.3711983999965014
Train loss: 1.734572824981342 Val loss: 0.0 Time: 1.231042700004764
Train loss: 1.777272786209764 Val loss: 0.0 Time: 1.2319158000027528
Train loss: 1.8011494976623794 Val loss: 0.0 Time: 1.509468399992329
Train loss: 1.636305275940174 Val loss: 0.0 Time: 1.2469466000038665
Train loss: 1.8877490946121043 Val loss: 0.0 Time: 1.4813025000039488
Train loss: 1.8249303547304994 Val loss: 0.0 Time: 1.2859459000028437
