starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_B_23-24.pth
Train loss: 3.265979280602422 Val loss: 0.0 Time: 0.7741962999862153
Train loss: 3.3388491178790014 Val loss: 0.0 Time: 0.7843374999938533
Train loss: 3.1630859285386066 Val loss: 0.0 Time: 0.7424170000012964
Train loss: 2.979262298961544 Val loss: 0.0 Time: 0.7391646999749355
Train loss: 2.78595056032529 Val loss: 0.0 Time: 0.7822390000219457
Train loss: 2.594342399761217 Val loss: 0.0 Time: 0.7680143999750726
Train loss: 2.5787896888534476 Val loss: 0.0 Time: 0.7031438999983948
Train loss: 2.433245405470757 Val loss: 0.0 Time: 0.7022694000042975
Train loss: 2.208609108118699 Val loss: 0.0 Time: 0.723098199989181
Train loss: 2.617651304196329 Val loss: 0.0 Time: 0.7587867999973241
Train loss: 2.3870763793300718 Val loss: 0.0 Time: 0.7515048999921419
Train loss: 2.0417724284488656 Val loss: 0.0 Time: 0.7266436999780126
Train loss: 1.8061413919348013 Val loss: 0.0 Time: 0.7092007000173908
Train loss: 1.9999447396544952 Val loss: 0.0 Time: 0.6806673999817576
Train loss: 1.9485416253627648 Val loss: 0.0 Time: 0.7402411999937613
Train loss: 1.813182011362322 Val loss: 0.0 Time: 0.753599400020903
Train loss: 1.8321703016226252 Val loss: 0.0 Time: 0.7347823999880347
Train loss: 2.0506474642448893 Val loss: 0.0 Time: 0.6787379000161309
Train loss: 1.846322481956383 Val loss: 0.0 Time: 0.6898356000019703
Train loss: 1.7589756283805968 Val loss: 0.0 Time: 0.7146800000045914
Train loss: 1.619828817084965 Val loss: 0.0 Time: 0.7048040000081528
Train loss: 1.6853511795596887 Val loss: 0.0 Time: 0.7228374000114854
Train loss: 1.7765543183481896 Val loss: 0.0 Time: 0.702143900009105
Train loss: 1.7698575063806175 Val loss: 0.0 Time: 0.6935408000135794
Train loss: 1.8797141883027715 Val loss: 0.0 Time: 0.768122300010873
Train loss: 1.5950543290594013 Val loss: 0.0 Time: 0.758018099993933
Train loss: 1.5038419487379997 Val loss: 0.0 Time: 0.7404463000129908
Train loss: 1.6277575554140071 Val loss: 0.0 Time: 0.711416799982544
Train loss: 1.5403098235875063 Val loss: 0.0 Time: 0.7324340000050142
Train loss: 1.689778897867451 Val loss: 0.0 Time: 0.6978652999969199
Train loss: 1.5347491893979281 Val loss: 0.0 Time: 0.6854128999984823
Train loss: 1.4741048961825527 Val loss: 0.0 Time: 0.6938757000025362
Train loss: 1.6971907219534899 Val loss: 0.0 Time: 0.7230541000026278
Train loss: 1.518237355543512 Val loss: 0.0 Time: 0.7192449000140186
Train loss: 1.495496939421546 Val loss: 0.0 Time: 0.7346639000170399
Train loss: 1.3958638114500843 Val loss: 0.0 Time: 0.7000292000011541
Train loss: 1.4332732226165206 Val loss: 0.0 Time: 0.7671406999870669
