starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_3lay_drop_23-24.pth
Train loss: 1.8387458389720006 Val loss: 0.00026585397426970303 Time: 1.3372520999982953
Train loss: 1.9555731828757348 Val loss: 0.00030274069285951555 Time: 1.2298987999965902
Train loss: 1.7365454488128051 Val loss: 0.0002683145576156676 Time: 1.209812500004773
Train loss: 2.1019258651491146 Val loss: 0.00026336798327974975 Time: 1.2161053000018
Train loss: 1.9792400785204478 Val loss: 0.0003150541160721332 Time: 1.2375700999982655
Train loss: 1.6189471088702523 Val loss: 0.00031368318013846874 Time: 1.1835738999943715
Train loss: 1.7152474610102075 Val loss: 0.0003187918337062001 Time: 1.2218685999978334
Train loss: 1.6700768739140017 Val loss: 0.0002770706487353891 Time: 1.233193099993514
Train loss: 1.8449526214500214 Val loss: 0.00031476642470806837 Time: 1.2683843999984674
Train loss: 1.4919003539056888 Val loss: 0.0003085126227233559 Time: 1.2657668000028934
Train loss: 1.5745780088739614 Val loss: 0.00029694518889300525 Time: 1.1776058999967063
Train loss: 1.6112025593131234 Val loss: 0.00027708179550245404 Time: 1.2169451999943703
Train loss: 1.5400107726479804 Val loss: 0.0002756655740085989 Time: 1.2103955000056885
Train loss: 1.5688271375240763 Val loss: 0.00029333974816836417 Time: 1.2081374999979744
Train loss: 1.424368432773187 Val loss: 0.00032454199390485883 Time: 1.1977585000131512
Train loss: 1.3964182194145671 Val loss: 0.0002955225354526192 Time: 1.1971098000067286
Train loss: 1.6901014637640026 Val loss: 0.000311874522594735 Time: 1.2026722000009613
Train loss: 1.411787637333159 Val loss: 0.00028979333001188934 Time: 1.1613287999934983
Train loss: 1.6605721668331546 Val loss: 0.000302460219245404 Time: 1.1816082000004826
Train loss: 1.4672366408215822 Val loss: 0.0003332655178382993 Time: 1.1617699000053108
Train loss: 1.4710513189179433 Val loss: 0.00032781073241494596 Time: 1.3953796999994665
Train loss: 1.3850148757945195 Val loss: 0.0003245935367885977 Time: 1.2112215000088327
Train loss: 1.5302698228430351 Val loss: 0.0003509909729473293 Time: 1.5271572999918135
Train loss: 1.3207570084506348 Val loss: 0.00031543668592348695 Time: 1.2951051999989431
Train loss: 1.4000097710420223 Val loss: 0.0003263535909354687 Time: 1.3207714000018314
Train loss: 1.5321040557973147 Val loss: 0.00028908983222208917 Time: 1.224802799988538
Train loss: 1.3521639906780998 Val loss: 0.0002848986187018454 Time: 1.3204934999957914
Train loss: 1.4802380576126857 Val loss: 0.00023320960463024676 Time: 1.1240859999961685
Train loss: 1.4109822176067741 Val loss: 0.0002807282726280391 Time: 1.1812362000055145
Train loss: 1.2221299876912615 Val loss: 0.0002839808294083923 Time: 1.1708854000025894
Train loss: 1.4554142128790613 Val loss: 0.0002846393617801368 Time: 1.1393289000116056
Train loss: 1.349403087326418 Val loss: 0.00029113958589732647 Time: 1.1933145000075456
Train loss: 1.2466677160351143 Val loss: 0.00031922300695441663 Time: 1.142877000005683
Train loss: 1.3509020372834013 Val loss: 0.000275283440714702 Time: 1.2405301999970106
Train loss: 1.3840632066060063 Val loss: 0.0003154316800646484 Time: 1.181904700002633
Train loss: 1.0847192508012657 Val loss: 0.00025593952159397304 Time: 1.1138101000105962
Train loss: 1.378258061856692 Val loss: 0.0002669798559509218 Time: 1.1645685999974376
Train loss: 1.3326479686442099 Val loss: 0.0002697441086638719 Time: 1.1755510999937542
Train loss: 1.368487887780133 Val loss: 0.0002517031389288604 Time: 1.1374813000002177
Train loss: 1.320873674532287 Val loss: 0.00025128675042651594 Time: 1.1564895000046818
Train loss: 1.391753151074525 Val loss: 0.000294176657916978 Time: 1.182850499986671
Train loss: 1.427871899035872 Val loss: 0.00026817372418008745 Time: 1.160345900003449
Train loss: 1.2507363282997377 Val loss: 0.0002005794522119686 Time: 1.2323113000020385
Train loss: 1.3840346477793513 Val loss: 0.0002752127475105226 Time: 1.2945457999885548
Train loss: 1.2474684318764397 Val loss: 0.00024551391834393144 Time: 1.209400200008531
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 1.1730542960351649 Val loss: 0.00025302876019850373 Time: 1.287534900009632
Train loss: 1.160577888625511 Val loss: 0.0002492271887604147 Time: 1.2471126999880653
Train loss: 1.3379834960124688 Val loss: 0.00025128840934485197 Time: 1.4096469000069192
Train loss: 1.2785883281718635 Val loss: 0.00025593239115551114 Time: 1.2419158999982756
Train loss: 1.2100244991015625 Val loss: 0.00025566856493242085 Time: 1.2892231000005268
Train loss: 1.5968883168851598 Val loss: 0.00025327771436423063 Time: 1.195617699995637
Train loss: 1.391986520571015 Val loss: 0.00024959028814919293 Time: 1.308494700002484
Train loss: 1.4904259482898061 Val loss: 0.0002494888613000512 Time: 1.354954499998712
Train loss: 1.2480295131878103 Val loss: 0.00024412432685494423 Time: 1.2230313999898499
Train loss: 1.3452708718930553 Val loss: 0.00023821975628379732 Time: 1.2780247000046074
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 68.63513110000349
