starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_2lin_B_23-24.pth
Train loss: 2.0827606563932735 Val loss: 9.205852620652877e-06 Time: 1.322285300004296
Train loss: 2.1078264803115303 Val loss: 3.620132338255644e-05 Time: 1.3765276999911293
Train loss: 1.902839109637604 Val loss: 9.84642520052148e-06 Time: 1.211956699989969
Train loss: 1.8584264302310423 Val loss: 3.2168961752176983e-06 Time: 1.2076931000046898
Train loss: 1.9014087645116284 Val loss: 9.494008281762945e-07 Time: 1.2555073000257835
Train loss: 1.973427879800882 Val loss: 2.526153139115195e-06 Time: 1.5070201999915298
Train loss: 1.5065214560135818 Val loss: 5.212324595049722e-06 Time: 1.953349099989282
Train loss: 1.6208488415638203 Val loss: 1.7129644369617836e-09 Time: 1.161669900000561
Train loss: 1.3697415484188946 Val loss: 1.2902512935397681e-05 Time: 1.6189467999793123
Train loss: 1.590171267344981 Val loss: 7.762815243950172e-07 Time: 1.5036314000026323
Train loss: 1.3879205565054438 Val loss: 8.780953066889197e-06 Time: 1.4795788000046741
Train loss: 1.5262608761677265 Val loss: 1.2481971680244897e-05 Time: 1.534407300001476
Train loss: 1.2913369069402059 Val loss: 6.65834522806108e-05 Time: 1.4698895000037737
Train loss: 1.3581177194365193 Val loss: 0.00011944457946810871 Time: 1.500667300017085
Train loss: 1.1120535691324502 Val loss: 5.485827205120586e-05 Time: 1.5817321999929845
Train loss: 1.3139405529289583 Val loss: 0.00014948565512895584 Time: 1.3988641999894753
Train loss: 1.1665522423417443 Val loss: 7.550353620899841e-05 Time: 1.2347203000099398
Train loss: 1.181126486868181 Val loss: 0.0001773306867107749 Time: 1.2614614000194706
Train loss: 1.3951646653119507 Val loss: 0.00011788887059083208 Time: 1.2552845999889541
Train loss: 1.3401531458554556 Val loss: 0.0003426242037676275 Time: 1.2262112000025809
Train loss: 1.1536415753585887 Val loss: 0.00014656591520179063 Time: 1.2093752000073437
Train loss: 1.082472820375429 Val loss: 0.0001735532277962193 Time: 1.2405685000121593
Train loss: 1.1974740579687415 Val loss: 0.0003007204504683614 Time: 1.2013992999854963
Train loss: 1.207224667262481 Val loss: 0.00012614502338692546 Time: 1.2587767000077292
Train loss: 1.3922650750534522 Val loss: 0.00017946465231943876 Time: 1.2437348999956157
Train loss: 1.3447842905424672 Val loss: 0.00017138807743322104 Time: 1.259862399980193
Train loss: 1.1370020250043689 Val loss: 0.00017252414545509964 Time: 1.268563699995866
Train loss: 1.191375633294926 Val loss: 0.00023263991170097142 Time: 1.2216565000126138
Train loss: 1.0194509170940231 Val loss: 0.000449377519544214 Time: 1.233664300001692
Train loss: 1.1682052767098572 Val loss: 0.00030173425329849124 Time: 1.2697894000157248
Train loss: 1.0891590224085026 Val loss: 0.0003298562369309366 Time: 1.9677464000124019
Train loss: 0.9855486826895756 Val loss: 0.00041668402263894677 Time: 1.442070999997668
