starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\rnn_drop_23-24.pth
Train loss: 3.7448125678820183 Val loss: 0.4126781429358626 Time: 1.700386400014395
Train loss: 3.5399288002488802 Val loss: 0.400659077727129 Time: 1.1466462000098545
Train loss: 3.1249596445626864 Val loss: 0.37373992476667195 Time: 1.5074234000057913
Train loss: 2.8972092179546394 Val loss: 0.3402508418196908 Time: 1.9481992999790236
Train loss: 2.435748104082077 Val loss: 0.29840846404191645 Time: 1.5873646999825723
Train loss: 2.361177696490145 Val loss: 0.29007712260299334 Time: 1.1487237999972422
Train loss: 2.158169843968949 Val loss: 0.281617114808696 Time: 0.9528321999823675
Train loss: 1.9941500488037747 Val loss: 0.25541204777086496 Time: 1.320454200002132
Train loss: 1.7234269049358417 Val loss: 0.24467491958130164 Time: 0.8820429999905173
Train loss: 1.725532113509403 Val loss: 0.23949176472533756 Time: 0.9064482000248972
Train loss: 1.5172484461881908 Val loss: 0.22598464057406378 Time: 0.8702037000039127
Train loss: 1.480313710169911 Val loss: 0.23323580464582447 Time: 1.4391940000059549
Train loss: 1.567014880552044 Val loss: 0.21102762885058202 Time: 1.2775907999894116
Train loss: 1.426201502782959 Val loss: 0.1693746519395409 Time: 1.0550921999965794
Train loss: 1.3472128716259935 Val loss: 0.1658864928349071 Time: 1.3801215999992564
Train loss: 1.2216560371775813 Val loss: 0.16817627348736666 Time: 0.9027969999879133
Train loss: 1.4089954588843199 Val loss: 0.1873377172048272 Time: 1.171908100019209
Train loss: 1.3376278257001424 Val loss: 0.1702342733616273 Time: 1.3232611999846995
Train loss: 1.2808189705909854 Val loss: 0.14282499227061307 Time: 1.697740600007819
Train loss: 1.2157381145851502 Val loss: 0.14179937167062281 Time: 1.3062074000190478
Train loss: 0.9819664824214946 Val loss: 0.10504583303191692 Time: 1.1834336000028998
Train loss: 1.2243840668235109 Val loss: 0.13219122888266455 Time: 1.3165809999918565
Train loss: 1.1321904914392462 Val loss: 0.11713083168660801 Time: 1.2454690000158735
Train loss: 1.1955481726342825 Val loss: 0.12004379430351773 Time: 1.8471411000064109
Train loss: 1.2764912070526648 Val loss: 0.15257607597332795 Time: 1.8575669999991078
Train loss: 1.0810379187679615 Val loss: 0.123395360071309 Time: 1.4915479000192136
Train loss: 1.072912162545201 Val loss: 0.14103056318500373 Time: 1.3699414000147954
Train loss: 0.9077414114876774 Val loss: 0.10750061426916513 Time: 1.8796826000034343
Train loss: 1.0510648634633886 Val loss: 0.174306460046352 Time: 2.002087200002279
Train loss: 0.9935901218908043 Val loss: 0.1619319304748879 Time: 2.9015068999724463
Train loss: 0.9231115696339751 Val loss: 0.09468799999719026 Time: 2.8391192999843042
Train loss: 0.9178650459489042 Val loss: 0.18332471697438818 Time: 1.295714699983364
Train loss: 0.9239949433001686 Val loss: 0.10962603065541662 Time: 1.4027773999841884
Train loss: 0.9318711991096151 Val loss: 0.09878721735687306 Time: 1.5200138999789488
Train loss: 0.9384981964311878 Val loss: 0.11619861767122189 Time: 1.803105200000573
Train loss: 0.7828965925651539 Val loss: 0.10311794766147252 Time: 1.8404517000017222
Train loss: 0.9503161296017311 Val loss: 0.13215358204380392 Time: 1.3142386999970768
Train loss: 0.9552900939218252 Val loss: 0.10184516838458244 Time: 1.265628499997547
Train loss: 0.8874037695996435 Val loss: 0.14495730208264218 Time: 1.3619879999896511
Train loss: 0.8601297958976772 Val loss: 0.143297857632921 Time: 1.4286308999871835
Train loss: 0.8632513148319774 Val loss: 0.09033061611725095 Time: 1.2006163999903947
Train loss: 0.8929130849394795 Val loss: 0.17888801620381556 Time: 1.8968008999945596
Train loss: 0.9381584529789073 Val loss: 0.15325648588030502 Time: 1.857189299975289
Train loss: 0.7687272870885113 Val loss: 0.09156344880676368 Time: 1.6479001000116114
Train loss: 0.7365703361067695 Val loss: 0.12872381694104296 Time: 1.011477099993499
Train loss: 0.7589672380194215 Val loss: 0.19613325313547023 Time: 0.8884529000206385
Train loss: 0.8183768329677719 Val loss: 0.17231074461846085 Time: 1.0714253000041936
Train loss: 0.7746489968558861 Val loss: 0.16660036876376788 Time: 1.7172223000088707
Train loss: 0.6260957506029854 Val loss: 0.12875431417128563 Time: 1.8914920999959577
Train loss: 0.7369469963501203 Val loss: 0.12744379025755823 Time: 1.1236070999875665
Train loss: 0.8116235065854109 Val loss: 0.08402072041139753 Time: 1.1877857000217773
Train loss: 0.708068534364884 Val loss: 0.15563566826021005 Time: 1.116865099989809
Train loss: 0.7078397101243681 Val loss: 0.0797507429554514 Time: 1.6692819999880157
Train loss: 0.6709515950593641 Val loss: 0.08038753753844145 Time: 1.7696556999871973
Train loss: 0.7375034487770762 Val loss: 0.18199583756059878 Time: 1.870406300004106
Train loss: 0.5917171119889426 Val loss: 0.08165285544986704 Time: 1.6696603999880608
Train loss: 0.6696445630503085 Val loss: 0.13549906457394925 Time: 1.3762894999817945
Train loss: 0.6571434888215126 Val loss: 0.16038808611908828 Time: 1.5961461999977473
Train loss: 0.6615969931350776 Val loss: 0.12445308639583821 Time: 1.5370088999916334
Train loss: 0.5930353666827317 Val loss: 0.14316295790665487 Time: 2.9172646999941207
Train loss: 0.6063849806201205 Val loss: 0.10595592585484725 Time: 2.280636699986644
Train loss: 0.5094399605565663 Val loss: 0.12712195499830128 Time: 1.6746037999982946
